Protein.Group	Protein.Names	Genes	First.Protein.Description	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_2w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_WT_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_6w_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_6w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_4W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_3__500ng.raw
Q9H9Y2	RPF1_HUMAN	RPF1		2.27084e+07	3.09231e+07	1.99901e+07	1.39745e+07	3.0853e+07	2.08694e+07	2.53391e+07	1.88205e+07	2.94434e+07	2.95357e+07	2.16606e+07	2.65049e+07	1.63512e+07	1.64752e+07	1.278e+07	1.153e+07	1.97469e+07	2.4119e+07	2.02883e+07	2.39421e+07	3.38787e+07	3.58677e+07	2.35139e+07	2.18878e+07	1.8548e+07	2.82775e+07	3.03934e+07
Q9H9Y4	GPN2_HUMAN	GPN2		2.90822e+06	1.91329e+06	3.16033e+06		2.4643e+06	4.22762e+06		1.92446e+06	2.42738e+06	2.2917e+06		1.82367e+06	4.05704e+06	3.44532e+06		4.21598e+06	3.744e+06		4.63005e+06	3.91232e+06	2.33576e+06	3.52826e+06	3.74914e+06	3.37107e+06	3.46651e+06	2.10818e+06	2.84391e+06
Q9H9Y6	RPA2_HUMAN	POLR1B		3.81997e+07	4.01233e+07	3.81e+07	2.37391e+07	3.64033e+07	3.31211e+07	3.86959e+07	3.66603e+07	3.80369e+07	4.26715e+07	3.726e+07	3.90279e+07	2.61147e+07	2.52929e+07	2.32241e+07	2.19494e+07	2.8162e+07	3.00405e+07	2.95057e+07	3.39038e+07	3.49187e+07	3.43275e+07	3.82758e+07	3.1739e+07	3.78139e+07	3.5308e+07	3.55102e+07
Q9HA38	ZMAT3_HUMAN	ZMAT3		106086	222847					160112				105621	233964		153104		216189											
Q9HA47	UCK1_HUMAN	UCK1		8.81364e+06	6.02554e+06	5.70446e+06	9.33374e+06	6.58917e+06	9.67882e+06	7.10992e+06	7.24452e+06	8.60278e+06	4.5202e+06	5.45762e+06	5.61591e+06	7.96441e+06	7.49097e+06	6.92142e+06	7.44999e+06	9.26839e+06	9.2371e+06	1.03954e+07	1.24695e+07	9.62456e+06	1.15945e+07	1.1723e+07	5.75447e+06	1.03826e+07	1.28083e+07	1.18866e+07
Q9HA64	KT3K_HUMAN	FN3KRP		1.57572e+07	1.5841e+07	1.53362e+07	2.30627e+07	1.08693e+07	1.35702e+07	1.50153e+07	1.41203e+07	1.63964e+07	1.63266e+07	1.34942e+07	1.35757e+07	2.43064e+07	2.00391e+07	2.23312e+07	2.0634e+07	2.25853e+07	2.17166e+07	2.2363e+07	9.83693e+06	8.9473e+06	1.09357e+07	1.03835e+07	9.89795e+06	1.36429e+07	1.19032e+07	1.18576e+07
Q9HA65	TBC17_HUMAN	TBC1D17		5.31733e+06	4.69164e+06	3.22833e+06	8.33365e+06	4.77902e+06	4.94011e+06	4.71742e+06	4.40237e+06	4.80032e+06	6.24314e+06	4.42586e+06	5.00899e+06	7.8748e+06	5.65026e+06	5.82818e+06	6.43466e+06	7.41174e+06	8.69271e+06	8.89253e+06	5.22208e+06	4.0676e+06	5.12121e+06	4.27651e+06	4.01228e+06	5.75032e+06	4.05e+06	3.8544e+06
Q9HA77	SYCM_HUMAN	CARS2		3.58538e+07	3.15286e+07	2.59543e+07	2.35907e+07	2.16788e+07	2.29516e+07	3.62962e+07	3.36019e+07	2.54725e+07	2.81797e+07	2.99807e+07	3.26904e+07	2.20949e+07	2.15612e+07	1.65009e+07	1.86789e+07	1.8444e+07	2.46798e+07	2.08298e+07	1.62643e+07	2.0014e+07	2.28122e+07	1.53314e+07	2.38193e+07	2.36399e+07	2.09533e+07	2.12574e+07
Q9HA92	RSAD1_HUMAN	RSAD1		1.10999e+06	1.64526e+06	1.2641e+06	1.68197e+06	2.58887e+06	1.94314e+06	1.02325e+06	1.29724e+06	1.41177e+06	1.10678e+06	1.36627e+06	1.5511e+06	1.62025e+06	1.48912e+06	1.22644e+06	1.5417e+06	1.54842e+06	1.79251e+06	1.55221e+06	2.0285e+06	2.64345e+06	2.00399e+06	2.0614e+06	2.03028e+06	2.43362e+06	1.95828e+06	1.61604e+06
Q9HAA7	YG046_HUMAN													698434																
Q9HAB3	S52A2_HUMAN	SLC52A2		5.25034e+06	5.75842e+06	5.13395e+06	9.63291e+06	4.09472e+06	3.01699e+06	4.90414e+06	6.47886e+06	6.81656e+06	7.00954e+06	5.53659e+06	6.15847e+06	1.07658e+07	9.20923e+06	8.72535e+06	6.87237e+06	1.05718e+07	1.03975e+07	1.14348e+07	3.76081e+06	4.90151e+06	4.44675e+06	5.71609e+06		4.9482e+06	4.58952e+06	5.13822e+06
Q9HAB8	PPCS_HUMAN	PPCS		1.99863e+07	2.10094e+07	2.02166e+07	3.52034e+07	2.87069e+07	3.56925e+07	2.09812e+07	1.90548e+07	1.70688e+07	1.90225e+07	2.07878e+07	2.01692e+07	2.73878e+07	3.27209e+07	3.17401e+07	3.20162e+07	2.37535e+07	2.7655e+07	2.85062e+07	2.76253e+07	2.87357e+07	3.08712e+07	2.83791e+07	3.00481e+07	2.99013e+07	2.96013e+07	3.0217e+07
Q9HAC8	UBTD1_HUMAN	UBTD1					683103	582944													496690	515770							453968	
Q9HAD4	WDR41_HUMAN	WDR41		5.96207e+06	7.41939e+06	8.69055e+06	8.59769e+06	5.48307e+06	7.58557e+06	5.50018e+06	7.81978e+06	7.83875e+06	6.19826e+06	7.26393e+06	8.26846e+06	9.39972e+06	7.02288e+06	9.31579e+06	1.20935e+07	9.712e+06	1.06529e+07	1.01896e+07	8.89771e+06	5.99784e+06	5.51979e+06	8.85629e+06	6.70542e+06	8.63998e+06	6.28387e+06	6.24206e+06
Q9HAF1	EAF6_HUMAN	MEAF6		1.71404e+07	1.56706e+07	1.53369e+07	1.5339e+07	1.78672e+07	1.85933e+07	1.65956e+07	1.96142e+07	1.98301e+07	2.04996e+07	1.56112e+07	1.66474e+07	1.9075e+07	1.66406e+07	1.99766e+07	1.68666e+07	1.74873e+07	1.61497e+07	1.73801e+07	1.7224e+07	1.92269e+07	2.02196e+07	1.83611e+07	2.04297e+07	2.02679e+07	1.88113e+07	1.97104e+07
Q9HAH1	ZN556_HUMAN	ZNF556						1.1209e+06	1.0258e+06	606837						482439	380272						831803	1.07753e+06	871959	695952	1.03364e+06	1.43834e+06	940928	1.03043e+06
Q9HAH7	FBRS_HUMAN	FBRS		6.5884e+06	5.8452e+06	6.50595e+06	5.70959e+06	8.92485e+06	8.9962e+06	6.79482e+06	6.05348e+06	6.75951e+06	7.465e+06	5.13704e+06	5.13618e+06	7.28686e+06	6.70321e+06	6.61264e+06	6.57611e+06	7.47723e+06	6.99369e+06	8.33227e+06	9.20478e+06	8.77881e+06	9.90432e+06	8.83623e+06	8.48344e+06	7.61926e+06	7.59489e+06	9.31316e+06
Q9HAI6	TASL_HUMAN	TASL		2.80999e+06	4.74334e+06	2.04973e+06	5.4107e+06	5.36438e+06	6.10964e+06	3.15955e+06	3.17085e+06	4.73419e+06	4.71622e+06	4.29211e+06	4.41671e+06	5.66212e+06	6.00778e+06	4.6761e+06	4.75856e+06	4.59654e+06	5.40243e+06	5.76179e+06	4.3276e+06	4.50558e+06	5.25238e+06	4.69445e+06	5.52208e+06	5.06238e+06	7.00288e+06	6.66256e+06
Q9HAJ7	SP30L_HUMAN	SAP30L		1.10956e+06	2.28544e+06	1.48162e+06	2.49289e+06	2.89298e+06	2.64404e+06	1.48742e+06	1.83987e+06	2.09566e+06	2.29845e+06	2.12028e+06	1.68718e+06	2.8963e+06	3.2028e+06	3.18351e+06	2.60798e+06	2.76686e+06	2.84727e+06	2.78842e+06	1.53392e+06	2.46386e+06	2.85066e+06	2.61145e+06	2.57714e+06	1.90263e+06	2.24842e+06	3.05553e+06
Q9HAN9	NMNA1_HUMAN	NMNAT1		8.58555e+06	1.02626e+07	1.004e+07	3.82389e+06	3.07116e+06	2.31577e+06	7.74213e+06	1.14565e+07	1.10631e+07	1.37745e+07	1.04529e+07	1.09046e+07	3.93474e+06	3.88788e+06	3.50837e+06	5.05524e+06	3.98224e+06	4.04212e+06	3.99061e+06	1.71681e+06	2.24936e+06	2.11552e+06		2.60058e+06	4.13688e+06	2.77929e+06	2.93337e+06
Q9HAP2	MLXIP_HUMAN	MLXIP		128230		150803	437839	207719						145801		218800			169535	194678		213533	140720	167346						167055
Q9HAS0	NJMU_HUMAN	C17orf75		6.74374e+06	7.77674e+06	8.73182e+06	6.1402e+06	8.58167e+06	1.00002e+07	6.53348e+06	9.3156e+06	9.01196e+06	9.51015e+06	6.04052e+06	6.54185e+06	6.14737e+06	6.69889e+06	6.46645e+06	5.92166e+06	7.09844e+06	6.52735e+06	6.84254e+06	9.37269e+06	9.66408e+06	6.46915e+06	8.5665e+06	8.78079e+06	8.83345e+06	8.84488e+06	7.99264e+06
Q9HAT2	SIAE_HUMAN	SIAE		3.89514e+06	1.32321e+06	1.21709e+06	5.16422e+06	6.0845e+06	6.19521e+06	3.01398e+06	980593	2.97433e+06	1.77467e+06	1.63958e+06	2.01711e+06	6.52499e+06	6.05877e+06	6.28356e+06	6.26789e+06	5.06671e+06	5.33621e+06	5.13207e+06	4.0063e+06	3.20897e+06	4.05204e+06	2.57704e+06	4.31004e+06	6.58019e+06	4.93801e+06	4.93266e+06
Q9HAU0	PKHA5_HUMAN	PLEKHA5		5.40628e+06	8.16966e+06	8.25922e+06				5.53522e+06	5.98604e+06	1.31057e+06	4.52479e+06	7.84713e+06	7.04212e+06								1.23125e+06			1.54678e+06	1.64337e+06	1.19754e+06	893402	
Q9HAU4	SMUF2_HUMAN	SMURF2						2.1971e+06															1.7781e+06	2.54029e+06						
Q9HAU5	RENT2_HUMAN	UPF2		2.93595e+07	2.97531e+07	2.57445e+07	3.39795e+07	2.43953e+07	2.23556e+07	3.19525e+07	3.29408e+07	3.15385e+07	3.1202e+07	3.00652e+07	2.88484e+07	3.59563e+07	3.36668e+07	3.54923e+07	3.38779e+07	3.38773e+07	3.23151e+07	3.3714e+07	2.35163e+07	2.34597e+07	2.45247e+07	2.30613e+07	2.62273e+07	2.57862e+07	2.29776e+07	2.32899e+07
Q9HAU6	TCTP8_HUMAN	TPT1P8		235449												134322					86539									
Q9HAU8	RNPL1_HUMAN	RNPEPL1		1.19874e+06	833830	899709		1.73786e+06	1.33195e+06	908163	1.08458e+06	1.54608e+06	1.27152e+06		1.14173e+06	828725			789735		783192	746743	1.68485e+06		1.40916e+06	1.45735e+06	2.70957e+06	2.80094e+06	1.54836e+06	1.63775e+06
Q9HAV0	GBB4_HUMAN	GNB4		1.30688e+08	1.3371e+08	1.3586e+08	1.81908e+08	1.18891e+08	1.83664e+08	1.3856e+08	1.40286e+08	1.29765e+08	1.03383e+08	1.48795e+08	1.42166e+08	1.767e+08	1.53055e+08	1.70392e+08	1.71189e+08	1.53385e+08	1.87551e+08	1.89412e+08	1.77412e+08	1.07475e+08	1.32538e+08	1.56408e+08	2.2304e+08	1.90522e+08	1.11816e+08	1.07285e+08
Q9HAV4	XPO5_HUMAN	XPO5		9.32261e+07	1.05124e+08	1.17094e+08	6.88257e+07	7.45431e+07	1.05647e+08	1.04397e+08	1.1075e+08	9.01665e+07	9.57507e+07	1.08007e+08	1.00299e+08	5.42036e+07	5.99394e+07	5.50245e+07	5.58857e+07	5.81238e+07	6.23466e+07	6.56382e+07	9.64208e+07	8.19365e+07	8.69658e+07	9.09104e+07	7.03575e+07	8.58455e+07	9.40602e+07	9.52206e+07
Q9HAV7	GRPE1_HUMAN	GRPEL1		1.48549e+08	1.69298e+08	1.53554e+08	1.63904e+08	2.81668e+08	2.66767e+08	1.20851e+08	1.38275e+08	1.58926e+08	1.56828e+08	1.42127e+08	1.36131e+08	1.76823e+08	1.64077e+08	1.36719e+08	1.17769e+08	1.62308e+08	1.68111e+08	1.73437e+08	2.13875e+08	2.57846e+08	2.47472e+08	2.27041e+08	2.23939e+08	2.49864e+08	2.9971e+08	3.11954e+08
Q9HAW0	BRF2_HUMAN	BRF2		890285	1.00693e+06	900216	911366	842308	891415	625682	700709	939760	870564	919335	924492	561229	715823	672369	678424	596184	1.28281e+06	1.05525e+06	844451	752389	1.06448e+06	720647	883754	1.1536e+06	944876	1.23501e+06
Q9HAW4	CLSPN_HUMAN	CLSPN		5.78193e+06	5.35636e+06	3.63068e+06	3.47173e+06	2.29543e+06	3.34745e+06	4.42465e+06	4.87301e+06	5.20928e+06	4.34599e+06	7.00556e+06	6.15303e+06	2.64104e+06	2.96169e+06	3.12999e+06	2.34228e+06	3.16483e+06	3.26705e+06	3.3068e+06	3.99818e+06	3.5128e+06	3.17216e+06	3.16975e+06	2.37437e+06	2.55115e+06	4.19668e+06	3.71762e+06
Q9HAW7	UD17_HUMAN	UGT1A7																			721762								1.18309e+06	
Q9HAW8	UD110_HUMAN	UGT1A10																			29122.1									
Q9HB07	MYG1_HUMAN	MYG1		3.18627e+07	2.87081e+07	3.33396e+07	4.05748e+07	4.21523e+07	3.10381e+07	2.65102e+07	3.85038e+07	3.09052e+07	3.42201e+07	3.66283e+07	3.49248e+07	4.4273e+07	4.37041e+07	4.3597e+07	4.00136e+07	4.17516e+07	4.51282e+07	4.63128e+07	3.68715e+07	4.01082e+07	3.63217e+07	4.28538e+07	3.17349e+07	4.26851e+07	3.63246e+07	3.19955e+07
Q9HB09	B2L12_HUMAN	BCL2L12			1.51604e+06	1.07883e+06	1.68209e+06	754173	1.45336e+06			931591	1.40867e+06	930360				1.66156e+06	1.11729e+06	1.29371e+06	1.36792e+06	1.5584e+06					1.12425e+06			910812
Q9HB19	PKHA2_HUMAN	PLEKHA2		8.79487e+06	5.89095e+06	5.10853e+06	6.63437e+06	1.10141e+07	1.0024e+07	8.64912e+06	7.24981e+06	1.03579e+07	6.95032e+06	6.8265e+06	6.73156e+06	8.44265e+06	7.92048e+06	9.13629e+06	8.68065e+06	7.86762e+06	7.93975e+06	6.74361e+06	1.00667e+07	9.17539e+06	9.14875e+06	8.33805e+06	1.18216e+07	1.22757e+07	7.42363e+06	6.6577e+06
Q9HB31	SEBOX_HUMAN	SEBOX																					430680							
Q9HB40	RISC_HUMAN	SCPEP1		8.88295e+07	4.50362e+07	3.16603e+07	5.7913e+07	1.36382e+08	1.06581e+08	8.0349e+07	4.10491e+07	6.34698e+07	4.78087e+07	4.11235e+07	4.3181e+07	9.21182e+07	6.77975e+07	7.43712e+07	6.37786e+07	7.28228e+07	5.37982e+07	5.50575e+07	1.26578e+08	1.05753e+08	1.25288e+08	1.06669e+08	9.75868e+07	1.01877e+08	9.84492e+07	9.67737e+07
Q9HB58	SP110_HUMAN	SP110		1.39908e+06	2.1271e+06	2.25633e+06	940656	3.9882e+06	2.2272e+06	1.51447e+06	1.5343e+06	2.4322e+06	2.15427e+06	2.18128e+06	1.75156e+06	1.95645e+06	1.82903e+06	2.01145e+06	2.2244e+06	2.08174e+06	1.60299e+06	1.51426e+06	3.4271e+06	3.21636e+06	2.79611e+06	1.38761e+07	4.71632e+06	3.47273e+06	3.39444e+06	3.14165e+06
Q9HB65	ELL3_HUMAN	ELL3																				150638	128375			108186		162970		
Q9HB71	CYBP_HUMAN	CACYBP		2.54905e+08	1.88435e+08	2.489e+08	1.9377e+08	2.94345e+08	2.97932e+08	2.64233e+08	2.01704e+08	3.8591e+08	2.17784e+08	2.02787e+08	1.84454e+08	2.15655e+08	2.05903e+08	2.17034e+08	1.95306e+08	2.14492e+08	1.90363e+08	2.15148e+08	3.06329e+08	2.57639e+08	3.09832e+08	3.52248e+08	2.33773e+08	3.13587e+08	2.91946e+08	3.10763e+08
Q9HB90	RRAGC_HUMAN	RRAGC		1.38336e+07	1.11453e+07	1.18813e+07	1.45267e+07	1.34958e+07	1.68685e+07	1.33963e+07	1.15942e+07	1.26899e+07	1.156e+07	1.22959e+07	1.21044e+07	1.20359e+07	1.30467e+07	1.57677e+07	1.63784e+07	1.18514e+07	1.5214e+07	1.36613e+07	1.49982e+07	1.29391e+07	1.21845e+07	1.17003e+07	1.77611e+07	1.92946e+07	1.20463e+07	1.21832e+07
Q9HB96	FANCE_HUMAN	FANCE			524477	648584	333692		829188	537004	448815			441623			402304		348270					493870	919555				671641	823905
Q9HBD1	RC3H2_HUMAN	RC3H2			403696	581012	585813									612877		725878		683680										
Q9HBE1	PATZ1_HUMAN	PATZ1		2.06803e+07	2.49054e+07	2.32018e+07	1.98621e+07	2.00008e+07	2.38898e+07	1.85335e+07	2.10727e+07	1.76006e+07	2.17581e+07	2.15026e+07	2.10258e+07	1.69106e+07	1.6345e+07	1.88652e+07	1.97868e+07	1.83816e+07	2.05414e+07	2.22764e+07	2.12093e+07	2.47773e+07	2.20171e+07	2.10623e+07	2.2262e+07	2.09754e+07	2.24603e+07	2.26565e+07
Q9HBF4	ZFYV1_HUMAN	ZFYVE1		2.91686e+07	2.49732e+07	2.63134e+07	4.92034e+07	2.11087e+07	3.17227e+07	2.97937e+07	2.54323e+07	1.24151e+07	2.4395e+07	2.43816e+07	2.40322e+07	4.99777e+07	4.80639e+07	4.70446e+07	4.94888e+07	4.0705e+07	4.64892e+07	5.00325e+07	2.52086e+07	2.42373e+07	2.41466e+07	2.13334e+07	2.37344e+07	1.45938e+07	3.30847e+07	3.35468e+07
Q9HBF5	ST20_HUMAN	ST20							1.96418e+06																		1.72311e+06	2.09293e+06		
Q9HBG6	IF122_HUMAN	IFT122		2.75546e+06	5.44562e+06	4.10556e+06	3.91385e+06	8.06358e+06	6.61764e+06	4.64191e+06	4.71609e+06	2.3392e+06	4.42763e+06	5.51311e+06	4.98993e+06	3.88262e+06	2.04909e+06	2.73325e+06	3.41482e+06				7.54278e+06	5.08587e+06	7.26171e+06	3.87993e+06	6.78021e+06	7.03607e+06	7.23173e+06	6.30726e+06
Q9HBG7	LY9_HUMAN	LY9		4.49e+06	1.48295e+06	899785		4.78163e+06	4.56216e+06	4.57895e+06	1.67538e+06	2.56836e+06	2.93822e+06	1.53496e+06	1.38746e+06		890678						4.50646e+06	4.22949e+06	4.34958e+06	3.37623e+06	4.85201e+06	4.70762e+06	3.9624e+06	4.10355e+06
Q9HBH0	RHOF_HUMAN	RHOF		5.42927e+06		5.04976e+06	1.45906e+07	8.37685e+06		6.31692e+06	7.37918e+06	7.61916e+06	5.98351e+06	3.1741e+06	3.19969e+06	1.36531e+07	1.3678e+07	1.54361e+07	1.34707e+07	1.19243e+07	1.32575e+07	1.16846e+07	5.9253e+06	6.70749e+06	8.35811e+06	3.95734e+06	7.3275e+06	4.90998e+06	2.43102e+06	4.42684e+06
Q9HBH1	DEFM_HUMAN	PDF		1.35972e+07	1.61105e+07	1.1991e+07	9.36951e+06	1.17951e+07	8.114e+06	1.36037e+07	1.5186e+07	1.3291e+07	1.55019e+07	1.67391e+07	1.48943e+07	1.02352e+07	1.0409e+07	8.97368e+06	8.17125e+06	9.3238e+06	8.22239e+06	1.02806e+07	8.28674e+06	9.89223e+06	1.05588e+07	9.5028e+06	8.30639e+06	9.18305e+06	9.11003e+06	9.13685e+06
Q9HBH5	RDH14_HUMAN	RDH14		9.49348e+06	8.69917e+06	7.95238e+06	8.19843e+06	1.43888e+07	9.95966e+06	8.78738e+06	8.5935e+06	9.63974e+06	7.42078e+06	9.85774e+06	9.95745e+06	6.59889e+06	8.20711e+06	7.80721e+06	6.76414e+06	7.40148e+06	7.70717e+06	7.91023e+06	1.32085e+07	1.17748e+07	1.37034e+07	1.30911e+07	1.80041e+07	1.43733e+07	9.27324e+06	9.05017e+06
Q9HBH7	BEX1_HUMAN	BEX1					2.0119e+06									1.83038e+06	1.92792e+06	2.18408e+06	1.91438e+06	924109	1.50547e+06	1.46724e+06								
Q9HBI0	PARVG_HUMAN	PARVG		2.94086e+07	2.35984e+07	2.77901e+07	2.93555e+07	4.50108e+07	4.63573e+07	3.01903e+07	2.62096e+07	3.24011e+07	3.53499e+07	2.45131e+07	2.67318e+07	3.31309e+07	3.00335e+07	2.55702e+07	2.87099e+07	3.13555e+07	3.24748e+07	2.897e+07	4.27307e+07	4.90404e+07	5.35181e+07	4.34628e+07	4.01681e+07	3.70227e+07	5.17419e+07	5.42573e+07
Q9HBI1	PARVB_HUMAN	PARVB		1.84529e+06	1.92139e+06	1.7362e+06	5.2888e+06	6.66199e+06	3.86902e+06	1.85283e+06	1.5359e+06	2.32594e+06	1.7959e+06	2.11586e+06	1.91931e+06	5.27107e+06	4.53308e+06	4.92519e+06	2.52252e+06	4.83311e+06	5.23291e+06	5.2783e+06	4.29194e+06	6.31468e+06	5.2611e+06	4.48201e+06	4.67552e+06	4.65352e+06	4.12462e+06	4.28045e+06
Q9HBJ7	UBP29_HUMAN	USP29		72752	51293.8	89913.4	76257.9	76041.6	74105.4	70579.4	50955.1	72268.4	52063.1	80269.8	60428.4	60545.6	49222.4	90733.4	64158.2	49837.3			103187	140066	72168.1	101400	85531	86433.2	83935.7	75943.2
Q9HBL0	TENS1_HUMAN	TNS1					2.63987e+06	2.64678e+06	3.67935e+06			894554				3.74556e+06	3.40926e+06	3.21422e+06	2.98684e+06	2.88512e+06	2.03225e+06	2.34666e+06	2.74121e+06	2.54001e+06	3.2114e+06	2.7777e+06	3.15787e+06	2.17392e+06	2.8649e+06	2.61679e+06
Q9HBL7	PLRKT_HUMAN	PLGRKT		2.8081e+07	3.50191e+07	3.18303e+07	1.62852e+07	3.17398e+07	3.07994e+07	2.54055e+07	2.94744e+07	2.79318e+07	2.5029e+07	3.43649e+07	2.89935e+07	1.49039e+07	1.58656e+07	1.46299e+07	2.17853e+07	1.36816e+07	1.561e+07	1.4112e+07	2.20513e+07	2.97485e+07	2.95901e+07	2.35026e+07	3.02314e+07	2.37018e+07	2.19651e+07	2.37518e+07
Q9HBL8	NMRL1_HUMAN	NMRAL1		8.21463e+06	6.92382e+06	7.42837e+06	1.19999e+07	4.0273e+06	1.7913e+06	9.09217e+06	7.69989e+06	7.96728e+06	7.84309e+06	8.50707e+06	8.08671e+06	1.30462e+07	1.35976e+07	1.35263e+07	1.2502e+07	1.6394e+07	1.25168e+07	1.20796e+07	3.95018e+06	4.34354e+06	5.11338e+06	4.21139e+06	4.6753e+06	3.74557e+06	2.00053e+06	1.97344e+06
Q9HBM1	SPC25_HUMAN	SPC25		1.39906e+07	1.15629e+07	1.78002e+07	1.51808e+07	9.66485e+06	1.40747e+07	1.54666e+07	2.06593e+07	1.46583e+07	1.70418e+07	1.15147e+07	1.13756e+07	1.53736e+07	1.688e+07	1.65156e+07	1.30944e+07	1.68806e+07	1.28129e+07	1.44479e+07	1.08159e+07	1.40502e+07	1.1649e+07	1.27704e+07	8.83541e+06	9.64108e+06	1.53358e+07	1.54005e+07
Q9HBM6	TAF9B_HUMAN	TAF9B		2.5164e+06	1.5716e+06	2.1862e+06	2.89503e+06	4.81659e+06	4.86105e+06	2.75072e+06	1.70455e+06	2.1795e+06	2.26378e+06	1.84503e+06	2.08226e+06	3.82862e+06	4.16798e+06	4.28408e+06	3.92852e+06	4.87838e+06	2.85313e+06	3.18037e+06	5.81846e+06	6.04074e+06	5.30548e+06	5.85675e+06	4.63014e+06	4.57794e+06	5.41252e+06	5.08123e+06
Q9HBR0	S38AA_HUMAN	SLC38A10		5.29446e+06	3.9525e+06	4.07536e+06	9.99724e+06	5.43304e+06	1.07593e+07	5.78464e+06	4.6341e+06	5.344e+06	3.80785e+06	4.60118e+06	5.01909e+06	9.42154e+06	8.47656e+06	8.99468e+06	1.21973e+07	1.03862e+07	9.17258e+06	9.52063e+06	8.5623e+06	7.01102e+06	7.7102e+06	6.41569e+06	6.64355e+06	6.1516e+06	9.92448e+06	9.6648e+06
Q9HBT6	CAD20_HUMAN	CDH20										1.23252e+06																		
